gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,log_riskscore,risk_score2
1,1,1,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,"(0, 12]",0.8025492276991621,0.7630356508427683
0,0,1,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,"(24, 48]",0.029760320813787832,0.05760301635656286
1,0,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,"(0, 12]",0.22928686941060705,0.29630015050427067
1,1,0,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,"(0, 12]",0.4523914875552527,0.5729366393644121
0,0,1,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,"(48, 72]",0.022763017393734368,0.03604174641219983
1,0,0,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,"(0, 12]",0.6732410451395305,0.6026821982091913
0,0,0,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,"(24, 48]",0.1909017627070541,0.3102022913992039
1,0,0,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,"(24, 48]",0.5909365242265748,0.5664986640856593
0,0,0,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,"(0, 12]",0.7555958508951209,0.7885159553452715
1,0,1,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,"(0, 12]",0.11417466124570608,0.12222683421436259
0,0,1,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,"(48, 72]",0.012367535635250223,0.023883531029306567
0,0,1,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,"(12, 24]",0.03103970799145209,0.032318798816219366
0,0,0,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,"(48, 72]",0.015083303734317861,0.026938907392383714
0,0,1,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,"(12, 24]",0.24743181656772376,0.20454926159655717
0,0,0,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,"(48, 72]",0.5012876064234811,0.4584503174403238
1,0,0,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,"(0, 12]",0.33352467474230735,0.4119876549676728
0,0,0,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,"(0, 12]",0.763177516663699,0.7245939358087558
1,0,0,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,"(48, 72]",0.036984198517805274,0.029139617772009147
0,0,1,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,"(48, 72]",0.006860377935687975,0.03380822527870296
0,1,0,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,"(24, 48]",0.4675300890738988,0.48385265472119693
0,0,0,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,"(12, 24]",0.4200224686407142,0.5134418836166875
0,1,1,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,"(24, 48]",0.2236281821646267,0.14989741697120307
0,1,1,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,"(0, 12]",0.6742986144266652,0.6983366093625394
0,1,1,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,"(48, 72]",0.02606314758365761,0.05478771042132585
1,1,0,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,"(12, 24]",0.7209507460149802,0.6662830486065887
0,0,1,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,"(48, 72]",0.13503103381609685,0.17560079824490044
1,1,1,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,"(48, 72]",0.20753577572665774,0.17874211926613304
0,0,1,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,"(24, 48]",0.013187717166697963,0.0003948213046341983
0,0,0,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,"(48, 72]",0.07183077087147008,0.1541382675137948
0,0,1,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,"(24, 48]",0.4921242860667732,0.5188872338356599
1,0,0,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,"(48, 72]",0.3125484599265397,0.24121440672732913
1,0,1,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,"(48, 72]",0.00802381386931098,0.031598389565798454
0,0,1,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,"(12, 24]",0.05780347379064699,0.08700489337950984
0,0,0,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,"(0, 12]",0.7581891997315088,0.719943111561339
0,0,0,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,"(0, 12]",0.5165636332072236,0.43061721513017903
1,0,1,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,"(24, 48]",0.15467270675802308,0.2358169754738162
0,0,0,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,"(24, 48]",0.044259972735740574,0.04606963877500122
0,0,1,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,"(48, 72]",0.00813610494815149,0.011591159092184462
1,0,0,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,"(0, 12]",0.44971281942218283,0.37932223864298514
1,0,0,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,"(0, 12]",0.2851581374262875,0.4219576193704583
0,0,1,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,"(48, 72]",0.022129838425086198,0.026722590953852224
1,1,1,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,"(48, 72]",0.08596078093376987,0.11512152640093648
1,0,1,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,"(48, 72]",0.007201637702339998,0.0020688580127248553
0,0,0,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,"(0, 12]",0.27606090684411266,0.2536937768561207
0,1,0,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,"(48, 72]",0.26144238610042697,0.214784473759951
0,0,0,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,"(24, 48]",0.03704203521156361,0.09086734670724607
0,0,1,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,"(0, 12]",0.1786954040887357,0.14059041763735852
1,1,0,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,"(24, 48]",0.2882494244804502,0.22321571943856888
0,0,1,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,"(24, 48]",0.016475570510344692,0.019216651012602746
0,0,0,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,"(0, 12]",0.7367488042979912,0.8036264936685156
0,0,1,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,"(0, 12]",0.4657790923746181,0.24636814407989088
0,0,1,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,"(0, 12]",0.6171241904988767,0.6162602663919927
0,0,0,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,"(24, 48]",0.2999336494338453,0.2968306981524045
0,0,1,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,"(48, 72]",0.014144680137342842,0.011002265898227274
1,0,0,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,"(0, 12]",0.7167990044405119,0.6415535719269293
0,0,1,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,"(24, 48]",0.06846143782948372,0.06080628700470889
0,0,1,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,"(24, 48]",0.004922764726718528,0.01038157990835858
0,0,1,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,"(24, 48]",0.006743182217324343,0.007858510119815759
1,0,1,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,"(24, 48]",0.25862785120218174,0.21516621745482842
1,0,1,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,"(24, 48]",0.25423570675129226,0.27840047416101493
1,1,0,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,"(0, 12]",0.6288495971516512,0.6326664326690746
1,0,1,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,"(48, 72]",0.01933853664855494,0.011331362495346244
0,0,0,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,"(48, 72]",0.26601823347006076,0.13024135172856913
1,0,0,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,"(48, 72]",0.10074054536926694,0.14147163914669292
0,0,0,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,"(0, 12]",0.5730239750226788,0.495405896223813
1,0,1,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,"(48, 72]",0.00995298085931853,0.051562979722497175
1,0,0,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,"(0, 12]",0.17809749346301385,0.20509399946899645
1,0,0,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,"(48, 72]",0.008290480646889151,0.030372222783051045
0,1,1,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,"(24, 48]",0.7007123458208016,0.6284658716564683
1,0,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,"(0, 12]",0.21611428269432623,0.3763636609500257
0,0,1,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,"(0, 12]",0.2542318628902695,0.2770291814128443
1,0,0,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,"(24, 48]",0.14959828835410308,0.12011426864448477
0,1,1,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,"(48, 72]",0.05435744118201288,0.08633758943926756
1,0,1,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,"(48, 72]",0.09313897701235256,0.2193268448440452
1,0,0,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,"(0, 12]",0.45199939808730044,0.3646641886197935
0,0,1,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,"(48, 72]",0.12354610017288725,0.12433328778044704
0,0,0,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,"(24, 48]",0.05951216037814973,0.08320928356597213
1,0,0,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,"(24, 48]",0.19697569824162842,0.19330306642285575
1,0,1,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,"(48, 72]",0.0019216434989136105,0.001899938380047856
1,0,1,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,"(48, 72]",0.3474679067550027,0.384751289419984
0,0,0,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,"(48, 72]",0.01874381627505759,0.049651090836928445
0,0,0,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,"(24, 48]",0.3430106624651852,0.3446531342195601
0,1,1,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,1,"(24, 48]",0.48615524305702507,0.5812574950260854
0,0,1,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,0,"(48, 72]",0.03589832387633727,0.07674472106688837
1,0,1,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,0,"(0, 12]",0.5409684524355952,0.3330502157776105
0,0,0,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,0,"(24, 48]",0.029766599061165105,0.06864674049758267
0,0,1,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,"(0, 12]",0.69968939875216,0.7503692476554178
0,0,0,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,0,"(24, 48]",0.007823066902782692,0.0011925586321439657
1,0,1,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,"(24, 48]",0.28308070223345433,0.24443350341420989
0,0,1,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,0,"(48, 72]",0.2408733835902511,0.23523268718555276
0,0,0,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,0,"(0, 12]",0.17317317985426067,0.10372765290687522
1,0,0,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,1,"(0, 12]",0.7511212348547635,0.6810316870884563
0,0,1,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,0,"(0, 12]",0.19952576040971073,0.17297035395821087
0,0,1,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,0,"(0, 12]",0.16895206836117288,0.08337277817522042
1,0,0,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,3027.65,0,"(24, 48]",0.09456242596883023,0.14408525690059812
0,1,0,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,1,"(24, 48]",0.6035865549943011,0.5856926801335118
1,0,1,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,"(48, 72]",0.00502369268399904,0.0035672984397727664
1,0,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,0,"(0, 12]",0.2167634424021276,0.36494405610890057
1,1,0,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45,3985.35,0,"(48, 72]",0.06376936152339094,0.12083378695234798
0,0,0,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,0,"(12, 24]",0.6538518977199919,0.6441975661102712
0,0,1,Yes,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,"(24, 48]",0.29505942610546815,0.2758412249336751
1,0,0,No,67,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,3260.1,0,"(48, 72]",0.006944976467293215,0.03636261500236449
1,0,0,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1,"(0, 12]",0.7168012501580353,0.8190063081794398
1,0,0,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,1,"(0, 12]",0.43428779230331194,0.5742076736802182
0,0,0,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1188.2,0,"(24, 48]",0.01211333136685334,0.02211581252964071
0,0,0,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,0,"(12, 24]",0.2525699511696755,0.29550248448460875
0,0,1,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,1277.75,0,"(48, 72]",0.0033571861566495894,0.003431359078221756
1,0,0,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,1170.55,0,"(48, 72]",0.006257713361388455,0.03512245434901072
0,1,1,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,1,"(0, 12]",0.7219895246486359,0.7916936806973104
0,1,1,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,0,"(48, 72]",0.0175935497846662,0.015099932611374614
0,0,0,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1,"(0, 12]",0.3135477581407417,0.41264430561001797
0,0,1,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,0,"(48, 72]",0.147612414160429,0.14926020052532885
